Collaboration_Performance.Parameters,Collaboration_Design.Reasoning,Collaboration_Client.and.Consultant.Requests,Collaboration_Technical.Constraints,Collaboration_Data,Performance.Parameters_Design.Reasoning,Performance.Parameters_Client.and.Consultant.Requests,Performance.Parameters_Technical.Constraints,Performance.Parameters_Data,Design.Reasoning_Client.and.Consultant.Requests,Design.Reasoning_Technical.Constraints,Design.Reasoning_Data,Client.and.Consultant.Requests_Technical.Constraints,Client.and.Consultant.Requests_Data,Technical.Constraints_Data
['I will bring what I have learned from this batch to the new team. I will bring the good and the failures | and how the different materials affect the cost'],"[""@Nassim Tehrani: The last email I received was saying my worklog for the prototypes was complete and didn't get one after. I was trying to do the notebook entry about the Team Batch. | What is the subject of todays meeting?""]",,"[""Hi Nassim, is there any way we can access a list of our original team members? | I'm Brandon. I have worked with the electric actuator.""]","['my group used peizoelectric and strain-gauge | so with steel, the prototypes generally were more expensive yet they excelled in payload capacity because of their strength. With aluminum, the prototypes generally cost the least and did well in most other areas besides payload. the composite material was the most well balanced, with cost being the only downside']","[""Agility and safety were attributes I found most important. The users of the exoskeletons shouldn't have to worry about things breaking down or the exoskeleton not responding when they are on a first respond team. | I believed that agility and recharge interval are very important attributes when in a disaster-rescue situation. The exoskeleton must be agile in order to ensure safety of the operator and having a good recharge interval will help the rescuer spend more time in the field.""]","[""Safety in general was our number one priority | the worker's safety is actually the primary concern when we design the exoskeleton.""]","['@Jimmy: Your Maximum Safety and Safety + Payload prototypes looked like they performed very well, but were expensive, my consultant was interested in keeping prices low so the product would be more marketable | @Jimmy: What was your reasoning for putting piezoelectric on each of your prototypes?']","[""It became apparent to me that Nickel Cadmium batteries are superior to the other choices in most ways--they have the lowest cost and best agility and payload, and an average RPN and recharge interval.  (PFC has a longer recharge interval and lower RPN but is expensive and has worse physical capabilities.)  In other words, three of its qualities were superior to the other power sources' and two were average, giving it an overall above-average rating. | I chose to prioritize Payload and Safety when it came to control sensors, and I chose the Lithium Polymer battery over the Nickel Cadmium because of the ecological impact that Connor mentioned""]","[""For example I used Pneumatics of course and then also used NiCd and Piezoelectric because those were what were best suited for my IC.  That left Material and ROM.  I did one Steel, one Composite, and one Aluminum all will ROM 1 which can compare the material only.  Then I also did two more Steel prototypes but with ROM 3 and ROM 6 to compare the ROMs. | Looking at the variables we're allowed to test we should decide on just one or two to change and see how they effect performance, assuming we only get 5 skeletons we need to limit what we change as much as possible in order to get an understanding on how important they are to the skeleton""]","['I think aluminum | We all chose NiCd for the power source of our ""preference"" prototype.']",['The agility was much TOO high for all of our prototypes and the payload and recharge interval were on the low side | the aluminum meet the price range'],['My first prototype with ROM 3 managed a 7.38 recharge interval which basically meets the requests.  However payload was lowest with only 480. | Well i had a 2 meet the minimum payload with 536 but its recharge was 6.40 and 6.23. we also made a steel one that was extremely strong in payload but it was bad in all the other categories.'],['My first prototype with ROM 3 managed a 7.38 recharge interval which basically meets the requests.  However payload was lowest with only 480. | My previous team came up with a prototype that had 876 payload with a 6.58 recharge interval while also being relatively inexpensive and safe'],['All is good. I am reading up on the material and will be caught up as soon as possible.']
['I will bring what I have learned from this batch to the new team. I will bring the good and the failures | and how the different materials affect the cost'],"['Please allow them to take their time, a more in depth personal analysis of our results will make for a better, more efficient meeting...the more familiar we are with the results the better']",,"[""Hi, I'm Maggie and I was with the Hydraulic team.""]","['my group used peizoelectric and strain-gauge | so with steel, the prototypes generally were more expensive yet they excelled in payload capacity because of their strength. With aluminum, the prototypes generally cost the least and did well in most other areas besides payload. the composite material was the most well balanced, with cost being the only downside']","['I somewhat prioritized physical capabilities (payload and agility), although I mostly just evaluated each of the five qualities equally. | I believed that agility and recharge interval are very important attributes when in a disaster-rescue situation. The exoskeleton must be agile in order to ensure safety of the operator and having a good recharge interval will help the rescuer spend more time in the field.']","[""We figured a higher safety along with a better agility would be the best for the workers | the worker's safety is actually the primary concern when we design the exoskeleton.""]","[""I would also be interested in sharing the problems (or non-problems) the hydraulic actuator had for each consultant's specifications.  For DaShawn Edwards, hydraulic's main issue was its agility, so I tried to choose other components to be agile.""]","['I agree but would like to look into the ecological impact of Nickel Cadmium. The resources stated that Cadmium is a highly  toxic metal and can be dangerous. | I chose to prioritize Payload and Safety when it came to control sensors, and I chose the Lithium Polymer battery over the Nickel Cadmium because of the ecological impact that Connor mentioned']","['What I noticed is that the increase in ROM produced better payload and agility but significantly set back the other performance features.  The change in battery from NiCd to LiPo allowed for a much higher payload for about 60 dollars less and gave us maybe 24 minutes of extra use before needing a recharge.  It also caused us to lose agility and safety but only so much that it was no longer ideal.  It still met all minimum standards of the consultants.  This leads me to think that our best route is to ideally forget about higher ROMs, even 4 was putting unnecessary constraints on our prototypes.  At the same time we should not completely disregard the LiPO battery option as tweaking other features may prove that this is in fact a better battery choice.']","['is the best material and the piezoelectric | I personally liked piezoelectric, but more of the internal consultants preferred strain-gauge. So why one or the other?']","[""I believe safety has to be a high priority because if the product isn't safe, it cannot be very reliable""]","['I think we should use aluminum, NiCd, and piezoelectric for our set variables. Then we can compare some of the actuators. | Safety should be a priority as well as the agility of the exoskeleton. Payload should be close with agility so that the user can actually do what he/she needs to.']","['I think we should use aluminum, NiCd, and piezoelectric for our set variables. Then we can compare some of the actuators. | Safety should be a priority as well as the agility of the exoskeleton. Payload should be close with agility so that the user can actually do what he/she needs to.']","['I have a question on the battery and control sensor articles--in the tables at the end, what is risk priority number?']"
"[""I thought safety and recharge interval were the most important. | I'm so sorry but I have another class so I have to leave this team discussion!!""]","['What is the subject of todays meeting? | Please allow them to take their time, a more in depth personal analysis of our results will make for a better, more efficient meeting...the more familiar we are with the results the better']",,"[""I'm Brandon. I have worked with the electric actuator. | Hi, I'm Maggie and I was with the Hydraulic team.""]","['my group used peizoelectric and strain-gauge | so with steel, the prototypes generally were more expensive yet they excelled in payload capacity because of their strength. With aluminum, the prototypes generally cost the least and did well in most other areas besides payload. the composite material was the most well balanced, with cost being the only downside']","['I somewhat prioritized physical capabilities (payload and agility), although I mostly just evaluated each of the five qualities equally. | It would not look very good for Rescutek if our operators themselves get injured, so we should make protecting the operator a top priority.']",['We figured a higher safety along with a better agility would be the best for the workers | We also thought that a higher payload would also contribute to a greater safety'],"[""@Jimmy: Your Maximum Safety and Safety + Payload prototypes looked like they performed very well, but were expensive, my consultant was interested in keeping prices low so the product would be more marketable | I would also be interested in sharing the problems (or non-problems) the hydraulic actuator had for each consultant's specifications.  For DaShawn Edwards, hydraulic's main issue was its agility, so I tried to choose other components to be agile.""]","[""It became apparent to me that Nickel Cadmium batteries are superior to the other choices in most ways--they have the lowest cost and best agility and payload, and an average RPN and recharge interval.  (PFC has a longer recharge interval and lower RPN but is expensive and has worse physical capabilities.)  In other words, three of its qualities were superior to the other power sources' and two were average, giving it an overall above-average rating. | Agility and safety were attributes I found most important. The users of the exoskeletons shouldn't have to worry about things breaking down or the exoskeleton not responding when they are on a first respond team.""]",['The IC requests made us aware of what sort of attributes are important to the exoskeleton.  Cost was one that got us deciding on using aluminum for our frame for example.'],"['We all chose NiCd for the power source of our ""preference"" prototype. | I personally liked piezoelectric, but more of the internal consultants preferred strain-gauge. So why one or the other?']","[""The agility was much TOO high for all of our prototypes and the payload and recharge interval were on the low side | I believe safety has to be a high priority because if the product isn't safe, it cannot be very reliable""]",['Safety should be a priority as well as the agility of the exoskeleton. Payload should be close with agility so that the user can actually do what he/she needs to. | I agree. Probably ROM 4 will be our best option for a lot of these prototypes.'],"['Values in the 13000 are good. Based on the internal consultants request, 13000 was the low value that she wanted']","['All is good. I am reading up on the material and will be caught up as soon as possible. | I have a question on the battery and control sensor articles--in the tables at the end, what is risk priority number?']"
"['It covered more of the things that we prioritized earlier, we said safety, cost, and recharge interval seemed to be the most important to our group and this design covers those parameters and does well as an overall device']","['What I noticed is that the increase in ROM produced better payload and agility but significantly set back the other performance features.  The change in battery from NiCd to LiPo allowed for a much higher payload for about 60 dollars less and gave us maybe 24 minutes of extra use before needing a recharge.  It also caused us to lose agility and safety but only so much that it was no longer ideal.  It still met all minimum standards of the consultants.  This leads me to think that our best route is to ideally forget about higher ROMs, even 4 was putting unnecessary constraints on our prototypes.  At the same time we should not completely disregard the LiPO battery option as tweaking other features may prove that this is in fact a better battery choice. | I will elaborate on that at the meeting on tuesday.']",,"[""I have been working with the series elastic actuator | Hi, I'm Maggie and I was with the Hydraulic team.""]","['@Cameron: You seem to be recommending composite if the cost is otherwise relatively low, and aluminum if there is relatively high cost and high payload? | Our Group used NiCd']","['I believed that agility and recharge interval are very important attributes when in a disaster-rescue situation. The exoskeleton must be agile in order to ensure safety of the operator and having a good recharge interval will help the rescuer spend more time in the field. | It would not look very good for Rescutek if our operators themselves get injured, so we should make protecting the operator a top priority.']","[""the worker's safety is actually the primary concern when we design the exoskeleton. | We also thought that a higher payload would also contribute to a greater safety""]","[""@Jimmy: What was your reasoning for putting piezoelectric on each of your prototypes? | I would also be interested in sharing the problems (or non-problems) the hydraulic actuator had for each consultant's specifications.  For DaShawn Edwards, hydraulic's main issue was its agility, so I tried to choose other components to be agile.""]","[""I agree but would like to look into the ecological impact of Nickel Cadmium. The resources stated that Cadmium is a highly  toxic metal and can be dangerous. | Agility and safety were attributes I found most important. The users of the exoskeletons shouldn't have to worry about things breaking down or the exoskeleton not responding when they are on a first respond team.""]",['We just decided which components of the exoskeleton were more or less the obvious choice for the final product and which ones needed more testing i.e. (the batteries and ROMs) | The IC requests made us aware of what sort of attributes are important to the exoskeleton.  Cost was one that got us deciding on using aluminum for our frame for example.'],"['We all chose NiCd for the power source of our ""preference"" prototype.']","[""the aluminum meet the price range | I believe safety has to be a high priority because if the product isn't safe, it cannot be very reliable""]","['electric and pneumatic are best all around I think | Values in the 13000 are good. Based on the internal consultants request, 13000 was the low value that she wanted']","['The cost of each one seems to be already fairly low | Values in the 13000 are good. Based on the internal consultants request, 13000 was the low value that she wanted']",['The graphs illustrated the strengths and weaknesses of the power sources and control sensors.']
"['It covered more of the things that we prioritized earlier, we said safety, cost, and recharge interval seemed to be the most important to our group and this design covers those parameters and does well as an overall device | except for payload but we determined that recharge interval was more important']",['We decided that during the last team meeting'],,"[""Hi, I'm Maggie and I was with the Hydraulic team. | I am from Pneumatic""]",['So maybe everyone present their design prototype results in terms of which one succeeded most in meeting the concerns of the internal consultants....'],"['My two most ""important"" prototypes are my prototypes titled ""Prototype 5 Low-ROM (high recharge interval) variant of 1"" and ""Prototype 1"".  I have several other prototypes built to test maximum abilities in one area, but I believe these two prototypes will be more applicable to all the of the consultants\' desires, since they are somewhat ""balanced"".  They do emphasize the qualities DaShawn Edwards was looking for (agility and low RPN) more than other qualities, but I do not think the emphasis is too great to exclude the other consultants\' requests.']","['I am wondering, did anybody have a prototype that was able to meet the internal consultants recharge interval or is that something we might not be able to accomplish and focus on more important characteristics to the workers such as payload and agility.']","['@Jordan: Piezoelectric seemed like the best sensors to use regarding agility, however, they were also the most expensive']","['I agree but would like to look into the ecological impact of Nickel Cadmium. The resources stated that Cadmium is a highly  toxic metal and can be dangerous. | I somewhat prioritized physical capabilities (payload and agility), although I mostly just evaluated each of the five qualities equally.']",['Most wanted a high payload and safety standards so we factored what different elements would give us the best outcome to meet those standards. | The IC requests made us aware of what sort of attributes are important to the exoskeleton.  Cost was one that got us deciding on using aluminum for our frame for example.'],"['I think aluminum | We all chose NiCd for the power source of our ""preference"" prototype.']","['Rescue workers most care about moving - agility, payload, and safety. Hmm.... For some reason my five original prototypes were also evaluated, and I surprisingly like some of the numbers there. One of them was excellent for all attributes except payload, and one was excellent for everything except agility, which actually did meet the minimum.']","['Values in the 13000 are good. Based on the internal consultants request, 13000 was the low value that she wanted | The only downside to the electric is it isnt as safe as the series elastic']","['Values in the 13000 are good. Based on the internal consultants request, 13000 was the low value that she wanted | The only downside to the electric is it isnt as safe as the series elastic']",['The graphs illustrated the strengths and weaknesses of the power sources and control sensors. | @Nassim Tehrani: It showed the different factors that effect the exoskeleton and ranked each factor comparing them to the different control sensors or power sources.']
"['In our last discussion we decided as a team the we wanted to focus on cost, safety, and recharge interval because those three are probably most important to the user']","[""We decided that during the last team meeting | we decided that the battery and ROM levels were the most pertinent variables and did our best to isolate them as to see how they would directly affect the skeleton's performance""]",,"[""Hi, I'm Maggie and I was with the Hydraulic team. | The electric actuator has a moderate recharge interval, it is the second cheapest, and has a fairly low payload. Its agility isn't very good.""]","['Although the PFC was expensive relative to the other power sources it ranked very well in terms of recharge interval and its RPN. On the other hand the NiCd battery had a better payload , costed less and had a relatively low RPN | So maybe everyone present their design prototype results in terms of which one succeeded most in meeting the concerns of the internal consultants....']","['@Nassim Tehrani: Are we to just describe our prototypes in the discussion? | My two most ""important"" prototypes are my prototypes titled ""Prototype 5 Low-ROM (high recharge interval) variant of 1"" and ""Prototype 1"".  I have several other prototypes built to test maximum abilities in one area, but I believe these two prototypes will be more applicable to all the of the consultants\' desires, since they are somewhat ""balanced"".  They do emphasize the qualities DaShawn Edwards was looking for (agility and low RPN) more than other qualities, but I do not think the emphasis is too great to exclude the other consultants\' requests.']","['Ok I had the electric actuator and we kept what we found was as ROM went up the agility and payload went up but the recharge interval went down. All the prototypes we designed were good however I think it need to increase payload and recharge interval and lower cost. I would say the electric actuator is good for agility and safety. | I am wondering, did anybody have a prototype that was able to meet the internal consultants recharge interval or is that something we might not be able to accomplish and focus on more important characteristics to the workers such as payload and agility.']","['@Jimmy: What was your reasoning for putting piezoelectric on each of your prototypes? | @Jordan: Piezoelectric seemed like the best sensors to use regarding agility, however, they were also the most expensive']","['My two most ""important"" prototypes are my prototypes titled ""Prototype 5 Low-ROM (high recharge interval) variant of 1"" and ""Prototype 1"".  I have several other prototypes built to test maximum abilities in one area, but I believe these two prototypes will be more applicable to all the of the consultants\' desires, since they are somewhat ""balanced"".  They do emphasize the qualities DaShawn Edwards was looking for (agility and low RPN) more than other qualities, but I do not think the emphasis is too great to exclude the other consultants\' requests.']",['The IC requests made us aware of what sort of attributes are important to the exoskeleton.  Cost was one that got us deciding on using aluminum for our frame for example. | For the variables that we tried to control (the ones we kept the same from prototype to prototype) we did our best to choose the best features that would hopefully fit their standards'],"['We all chose NiCd for the power source of our ""preference"" prototype. | We all chose NiCd for the power source of our ""preference"" prototype.']","['the aluminum meet the price range | Rescue workers most care about moving - agility, payload, and safety. Hmm.... For some reason my five original prototypes were also evaluated, and I surprisingly like some of the numbers there. One of them was excellent for all attributes except payload, and one was excellent for everything except agility, which actually did meet the minimum.']","['Values in the 13000 are good. Based on the internal consultants request, 13000 was the low value that she wanted | Let\'s hear arguments against the ""Pneumatic and Composite"" design from our REDD batch.']","['Looking back at the internal consultants requests, one of them says that the suit should be able to operate for at least 5.9 hours']",['The graphs illustrated the strengths and weaknesses of the power sources and control sensors. | The graphs indicated the properties of all the different options and made a comparable visual illustration to make an informed decision on which combination to use.']
"['Based on our research we designed something that would be the best for the worker. the most important attributes were recharge interval and cost and safety. | In our last discussion we decided as a team the we wanted to focus on cost, safety, and recharge interval because those three are probably most important to the user']",['We decided that during the last team meeting | That was the best way to use our tests since we could only test five designs.'],,"[""Hi, I'm Maggie and I was with the Hydraulic team. | The electric actuator has a moderate recharge interval, it is the second cheapest, and has a fairly low payload. Its agility isn't very good.""]",['@Cameron: I believe it would be easier to choose an actuator if we saw some numbers to quantitatively compare them. | So maybe everyone present their design prototype results in terms of which one succeeded most in meeting the concerns of the internal consultants....'],"['After viewing the results of my prototypes, my top two are my ""Highest Agility"" one and ""REDD 6"" one. Highest agility uses Aluminum alloy, NiCd battery, Hydraulic actuator, strain gauge sensor, Rom 6. REDD 6 uses Steel, NiCd battery, Hydraulic actuator, Piezoelectric sensor, and Rom 5.']","['So Hydraulic actuators use fluid to generate work with a piston. It can generate the highest payload capacity, as the fluid is in-compressible in nature, but that also means that it lacks in agility due to friction in the piston rods. | I am wondering, did anybody have a prototype that was able to meet the internal consultants recharge interval or is that something we might not be able to accomplish and focus on more important characteristics to the workers such as payload and agility.']","[""I would also be interested in sharing the problems (or non-problems) the hydraulic actuator had for each consultant's specifications.  For DaShawn Edwards, hydraulic's main issue was its agility, so I tried to choose other components to be agile. | @Jordan: Piezoelectric seemed like the best sensors to use regarding agility, however, they were also the most expensive""]","['After viewing the results of my prototypes, my top two are my ""Highest Agility"" one and ""REDD 6"" one. Highest agility uses Aluminum alloy, NiCd battery, Hydraulic actuator, strain gauge sensor, Rom 6. REDD 6 uses Steel, NiCd battery, Hydraulic actuator, Piezoelectric sensor, and Rom 5.']","['The IC requests made us aware of what sort of attributes are important to the exoskeleton.  Cost was one that got us deciding on using aluminum for our frame for example. | Yes, for example the choice of aluminum as Robert just mentioned']","['I personally liked piezoelectric, but more of the internal consultants preferred strain-gauge. So why one or the other? | We all chose NiCd for the power source of our ""preference"" prototype.']","[""I believe safety has to be a high priority because if the product isn't safe, it cannot be very reliable | Rescue workers most care about moving - agility, payload, and safety. Hmm.... For some reason my five original prototypes were also evaluated, and I surprisingly like some of the numbers there. One of them was excellent for all attributes except payload, and one was excellent for everything except agility, which actually did meet the minimum.""]","['Values in the 13000 are good. Based on the internal consultants request, 13000 was the low value that she wanted | I think we need something that is good all around like pneumatic or electric.  From there its just deciding is a better safety rating more important or better payload?']","[""but if based on the consultants' requests which one will either of you propose to them? | Looking back at the internal consultants requests, one of them says that the suit should be able to operate for at least 5.9 hours""]",['@Nassim Tehrani: It showed the different factors that effect the exoskeleton and ranked each factor comparing them to the different control sensors or power sources. | The graphs indicated the properties of all the different options and made a comparable visual illustration to make an informed decision on which combination to use.']
"['We decided that it needs to be cheap and safe.  Also the payload is important if is needs to be recharge more often | In our last discussion we decided as a team the we wanted to focus on cost, safety, and recharge interval because those three are probably most important to the user']",['The use of Gas in the actuator as opposed to water makes for a more reliable and efficient use of energy and the Pneumatic design is safer than the artificial muscle outline which severely limits its payload abilities as the muscles are less supportive than the steel or aluminum piping used in our actuator | good meeting team'],,"['The Pneumatic actuator though very efficient, sometimes had trouble meeting agility and Payload specifications']","[""I'm finishing my notebook (analysis    of testing results). Is there any other tasks to complete for the day? | Unless someone has a different prototypes from the ones suggested in this team, I think either the hydraulic or pneumatic actuated prototype would be best.""]","['@Nassim Tehrani: Are we to just describe our prototypes in the discussion? | After viewing the results of my prototypes, my top two are my ""Highest Agility"" one and ""REDD 6"" one. Highest agility uses Aluminum alloy, NiCd battery, Hydraulic actuator, strain gauge sensor, Rom 6. REDD 6 uses Steel, NiCd battery, Hydraulic actuator, Piezoelectric sensor, and Rom 5.']","['I researched the series electric actuator. The series elastic actuator had a larger payload, but as the ROM went up the best advantage to the series elastic actuator was balanced out in a negative fashion by the rapidly decreasing recharge interval. The series elastic actuator also had a higher cost as well. | I am wondering, did anybody have a prototype that was able to meet the internal consultants recharge interval or is that something we might not be able to accomplish and focus on more important characteristics to the workers such as payload and agility.']",['PIezoelectric control sensors had the lowest RPN Values'],"['My two most ""important"" prototypes are my prototypes titled ""Prototype 5 Low-ROM (high recharge interval) variant of 1"" and ""Prototype 1"".  I have several other prototypes built to test maximum abilities in one area, but I believe these two prototypes will be more applicable to all the of the consultants\' desires, since they are somewhat ""balanced"".  They do emphasize the qualities DaShawn Edwards was looking for (agility and low RPN) more than other qualities, but I do not think the emphasis is too great to exclude the other consultants\' requests. | After viewing the results of my prototypes, my top two are my ""Highest Agility"" one and ""REDD 6"" one. Highest agility uses Aluminum alloy, NiCd battery, Hydraulic actuator, strain gauge sensor, Rom 6. REDD 6 uses Steel, NiCd battery, Hydraulic actuator, Piezoelectric sensor, and Rom 5.']","['The IC requests made us aware of what sort of attributes are important to the exoskeleton.  Cost was one that got us deciding on using aluminum for our frame for example. | I would say that was our primary interest, as they are the ones who will use the exoskeletons']","['We all chose NiCd for the power source of our ""preference"" prototype. | I personally liked piezoelectric, but more of the internal consultants preferred strain-gauge. So why one or the other?']","['Rescue workers most care about moving - agility, payload, and safety. Hmm.... For some reason my five original prototypes were also evaluated, and I surprisingly like some of the numbers there. One of them was excellent for all attributes except payload, and one was excellent for everything except agility, which actually did meet the minimum.']","[""So we can agree that the actuator is going to be either: SEA, electric, or pneumatic? | but if based on the consultants' requests which one will either of you propose to them?""]","['Looking back at the internal consultants requests, one of them says that the suit should be able to operate for at least 5.9 hours | Ya i think the series elastics recharge is too low. I think electric is the best option']","['The graphs detailed what aspects of power sources and control sensors are important--namely, the numerical data.']"
"['In our last discussion we decided as a team the we wanted to focus on cost, safety, and recharge interval because those three are probably most important to the user | the recharge interval was deemed important because that means the operator could use it longer in the field']","['I agree the NiCd battery has the best average of the five qualities | I am done with the graph, summary, and recommendation. Can we please adjust a time to later hold this meeting?']",,"['I am from Pneumatic | The Pneumatic actuator though very efficient, sometimes had trouble meeting agility and Payload specifications']","[""The recharge interval can be increased by lowering the ROM number. | That's great, do they have a pretty simple time meeting other standards as well?""]","['My two most ""important"" prototypes are my prototypes titled ""Prototype 5 Low-ROM (high recharge interval) variant of 1"" and ""Prototype 1"".  I have several other prototypes built to test maximum abilities in one area, but I believe these two prototypes will be more applicable to all the of the consultants\' desires, since they are somewhat ""balanced"".  They do emphasize the qualities DaShawn Edwards was looking for (agility and low RPN) more than other qualities, but I do not think the emphasis is too great to exclude the other consultants\' requests. | After viewing the results of my prototypes, my top two are my ""Highest Agility"" one and ""REDD 6"" one. Highest agility uses Aluminum alloy, NiCd battery, Hydraulic actuator, strain gauge sensor, Rom 6. REDD 6 uses Steel, NiCd battery, Hydraulic actuator, Piezoelectric sensor, and Rom 5.']","['So Hydraulic actuators use fluid to generate work with a piston. It can generate the highest payload capacity, as the fluid is in-compressible in nature, but that also means that it lacks in agility due to friction in the piston rods. | No, my previous group was not able to meet any of the requests from the internal consultants. However, we got close on a few designs to meeting requests']","['@Jordan: Piezoelectric seemed like the best sensors to use regarding agility, however, they were also the most expensive | PIezoelectric control sensors had the lowest RPN Values']","['Prototype 1:  I chose NiCd for high agility and average RPN, ROM 4 for decent agility (but not too expensive or power-consuming), aluminum for the light weight and low cost, and piezoelectric control sensors for average agility but low RPN.']","['I agree, the consultants that specifically mentioned the buyers and users of the skeletons were most important such as the marketing or design consultants']","['We all chose NiCd for the power source of our ""preference"" prototype. | I personally liked piezoelectric, but more of the internal consultants preferred strain-gauge. So why one or the other?']","[""I believe safety has to be a high priority because if the product isn't safe, it cannot be very reliable | Rescue workers most care about moving - agility, payload, and safety. Hmm.... For some reason my five original prototypes were also evaluated, and I surprisingly like some of the numbers there. One of them was excellent for all attributes except payload, and one was excellent for everything except agility, which actually did meet the minimum.""]","['Looking back at the internal consultants requests, one of them says that the suit should be able to operate for at least 5.9 hours | Ya i think the series elastics recharge is too low. I think electric is the best option']",['Base your results off which categories from the consultants were easy or hard to meet'],"['@Nassim Tehrani: It showed the different factors that effect the exoskeleton and ranked each factor comparing them to the different control sensors or power sources. | The graphs detailed what aspects of power sources and control sensors are important--namely, the numerical data.']"
"['the best one from my former team is payload 580, agility 257,recharge interval 6,9, cost 14915, safety 190']","['For power sources the NiCd was obviously the best but the control sensors all even out in the end and just depend on what is the goal of the exoskeleton they are used for | I am done with the graph, summary, and recommendation. Can we please adjust a time to later hold this meeting?']",,"[""The electric actuator has a moderate recharge interval, it is the second cheapest, and has a fairly low payload. Its agility isn't very good. | The Pneumatic actuator though very efficient, sometimes had trouble meeting agility and Payload specifications""]","[""That's great, do they have a pretty simple time meeting other standards as well? | Very true. and even with a lower ROM number, electric actuators keep a good payload and agility""]","['Prototype 1:  I chose NiCd for high agility and average RPN, ROM 4 for decent agility (but not too expensive or power-consuming), aluminum for the light weight and low cost, and piezoelectric control sensors for average agility but low RPN.']","['I researched the series electric actuator. The series elastic actuator had a larger payload, but as the ROM went up the best advantage to the series elastic actuator was balanced out in a negative fashion by the rapidly decreasing recharge interval. The series elastic actuator also had a higher cost as well. | No, my previous group was not able to meet any of the requests from the internal consultants. However, we got close on a few designs to meeting requests']","['I did not look at only the two qualities dictated by the internal consultant I reviewed, but rather all five qualities.  I slightly prioritized agility, since DaShawn Edwards had high agility recommendations and the hydraulic actuator was inagile.']","['My two most ""important"" prototypes are my prototypes titled ""Prototype 5 Low-ROM (high recharge interval) variant of 1"" and ""Prototype 1"".  I have several other prototypes built to test maximum abilities in one area, but I believe these two prototypes will be more applicable to all the of the consultants\' desires, since they are somewhat ""balanced"".  They do emphasize the qualities DaShawn Edwards was looking for (agility and low RPN) more than other qualities, but I do not think the emphasis is too great to exclude the other consultants\' requests. | Prototype 1:  I chose NiCd for high agility and average RPN, ROM 4 for decent agility (but not too expensive or power-consuming), aluminum for the light weight and low cost, and piezoelectric control sensors for average agility but low RPN.']","['Yes, for example the choice of aluminum as Robert just mentioned | I agree, the consultants that specifically mentioned the buyers and users of the skeletons were most important such as the marketing or design consultants']","['We all chose NiCd for the power source of our ""preference"" prototype. | And ROM 4']","['Rescue workers most care about moving - agility, payload, and safety. Hmm.... For some reason my five original prototypes were also evaluated, and I surprisingly like some of the numbers there. One of them was excellent for all attributes except payload, and one was excellent for everything except agility, which actually did meet the minimum. | Rescue workers most care about moving - agility, payload, and safety. Hmm.... For some reason my five original prototypes were also evaluated, and I surprisingly like some of the numbers there. One of them was excellent for all attributes except payload, and one was excellent for everything except agility, which actually did meet the minimum.']","['Looking back at the internal consultants requests, one of them says that the suit should be able to operate for at least 5.9 hours | @Jimmy: So electric is looking more suitable?']",['Base your results off which categories from the consultants were easy or hard to meet | The requirements they asked for I mean'],"['The graphs indicated the properties of all the different options and made a comparable visual illustration to make an informed decision on which combination to use. | The graphs detailed what aspects of power sources and control sensors are important--namely, the numerical data.']"
